Id,Text Tweet
807,Pasangan #AniesSandi merupakan pasangan yang ideal untuk #MerajutJakartakembali dari dinamika yang terjadi diIbu Kota Jakarta. #ILC
189,Sinyal Positif Agus-Sylvi Merapat ke Anies-Sandi #PilkadaDKIJakarta #agussilvy https://www.harianbernas.com/berita-32894-Sinyal-Positif
223,Keren #AHY
408,"dulu #Jakarta tidak pernah terpecah belah, tapi sejak ada orang asing #jakarta terpecah <Broken Heart>  #AkuCoblosAniesSandi #pilkadadki2017 #PilkadaDK"
8,Terima Kasih teruntuk pendukung #AHY #SYLVI kalianlah pembeda kali ini
483,Iwan Fals saja pilih Ahok Djarot..tahu kan konsistennya Iwan Fals melawan korupsi ? #pilkadadki2017 @Takviri
881,#SalamBersama #OkeOce #Jakarta #CoblosNomor3  @aniesbaswedan @sandiuno @Gerindra @PKSejahtera @Official_PAN
571,Kepada Pendukung #BaDja #AhokDjarot kita tidak usah terprovokasi dan jangan mengotori tangan2 kita dengan Hal2 yang mengandung NAZIS <Heavy Check Mark> <Heavy Check Mark>
687,kelakuan busuk lalu beri alasan busuk. sekarang lempar tai sembunyi tangan lalu nunjuk yang lain. MEMALUKAN klakuan pendukung #AniesSandi
473,Usai Nyoblos Ahok Hanya Tersenyum. https://goo.gl/Ea1PNS  #pilkadadki2017 #ahok
20,"Gara2 e-KTP dikorupsi, fotoku yg semula mirip #AHY, pelan tapi pasti skrang malah mirip - Stickmoticons”"
357,"Takjub sebegitu besarnya cinta warga DKI pada #AhokDjarot , geli sama kalimat-kalimat dalam #karanganbungaahok ."
726,"Dan nginulpun terdiam <Face Without Mouth> . #dacademy4 Salam #OkeOce, #CoblosPecinya"
324,Hanya iblis yang ingin menghalang-halangi manusia yang mau beribadah di masjid. Tetap semangat ya pak Djarot...!! #garagaraPILKADA #pilkadaD
756,Selamat untuk Pasangan No. 3 Anies- Sandi. #pilkadadki2017 Mari kita tingkatkan persatuan Indonesia..
776,"#pilkadadki2017 jika ahok djarot menang, mereka tinggal melanjutkan tugas mereka, dan jika anis sandi menang, mudah-mudahan bisa lebih baik."
87,"lini pertahanan AHY rapuh debat efek, aksi 112 efek dan Antasari efek #pilkadaDKI"
337,"Sedihnya hari ini, Indonesia hanya sebatas Jakarta, Bhinneka hanya sebatas soal Ahok semata #SaveJakarta #SaveNKRI #1000lilin #AhokDjarot"
355,DEDDY CORBUZIER SINDIR KARANGAN BUNGA AHOK. #indoharian #ahok #djarot #ahokdjarot #karanganbunga #DKI #Jakarta #DKIJakarta #memepolitik
419,tolong bapak gubernur knp sampai saat kjp anak saya tidak turun juga sudah hampir 4 bulan menjelang pilkada Dki sampai sekarang <Confused Face>
685,Ente Kafirun nantangin laskar #AniesSandi ??! Kite cari ente !! #JakartaBersyariah https://twitter.com
666,Hanya okee oce #okeoce solusi nya Cuma itu saja
561,Bapak Presiden sudah bilang Pilkada DKI akan aman tohh  <Smiling Face With Sunglasses>  <Smiling Face With Sunglasses> ... #PilkadaDKI2017 @jokowi @JokowiAhokJKT
346,Ya beginilah politik Indonesia jaman sekarang.. Menyedihkan!! #riphukum #RIPJusticeInIndonesia #freeahok #AhokDjarot #Ahok #AhokIsHope
539,"Allah bersama orang2 yang benar, subhanallah.. #DKIJakarta #AhokDjarot #PemProvAmanah #PemenangdiHatiRakyat #Piss"
354,"Bagaimana dengan #AhokDjarot Pak @jokowi ? Mereka, khususnya #Ahok di abused tiap hari oleh kaum Islamist radicals"
550,#ahok #djarot tetap di hatiku #pilkadadki
461,Kekuasaan itu Tuhan yang kasih Tuhan juga yang ambil. #TerimakasihPakAhok saya bangga memilih Pak Ahok #pilkadadki2017 #TerimaKasihAhok
322,Jangan biarkan ini terjadi!! #Gue2 #BaDjaUntukJakarta #pilkadadki2017
99,Selamat datang AHY sebagai rakyat biasa setelah mundur dari TNI dan kalah di Pilkada DKI #pilkadaDKI #pilkadarasapilpres
479,satu orang pemimpin yang tahu bagaimana cara memimpin adalah lebih baik dari pada seribu orang yang belajar kepemimpinan #pilkadadki2017
735,#debatfinalpilkadadki Hhahahaa.. #OkeOce atau OKE-NGOCEH??? @aniesbaswedan
553,#duajari #ahokdjarot #badja #salamduajari #duajari #kode #code #gangster #farmer #foodhero https://www.instagram.com/p/BS1x10_Bovd/
531,Bukan hanya di jakarta saja tapi di medan juga #AhokDjarot #AhokDicintaiRakyat #AhokShow #FadliZon #Jakarta
338,"Pak Djarot menangis, @addiems pimpin #NyanyianUntukAhok. Ada apa ya? Cek http://goo.gl/7iUqa0  #AhokDjarot #BalaiKota #VisuallyYours"
495,"Doaku Menyertai (Jakarta, May 2017) basukibtp @ahokdjarot #storyofthestreet #ahok #ahokdjarotâ€¦ https://www.instagram.com/p/BT8t9c9jQlx/"
256,Waktu itu .... ah sudahlah <Frowning Face> @didienAZHAR: #AHY No. 1 <THUMBS UP> <THUMBS UP> <THUMBS UP>
739,"Setelah KO di beberapa Polling, kini mereka goreng soal KPUD tidak netral, kamvreetttt.... #pilkadadki2017 #debatfinalpilkadadki #OkeOce"
119,wah si AHY 70% sentimennya negatif. Wkwkwk.<FACE WITH STUCK-OUT TOUNGES>
490,#freeahok #saveahok #ahokfornobel2017 #ahokdjarot #ahoklovers #ahokbtp #ahok https://www.instagram.com/p/BUBE8R_BJnj/
332,http://youtu.be/NkMX90Am3aY  Virall.bocah ini injak2 baju kotak2 karena merasa kecewa #WINGSTourInJakarta #pilkadadki2017 #FreeAhok
49,Masih mau mencaci maki #AHY dan Pepo Memo nya?! Kalian hrs mengemis minta suara 17% kpd orang2 yang selama ini kalian hina!!!!!!
11,"dammnn,!! politik cantik #SBY ngorbanin #AHY"
613,"Tapi lawan Ahok sekarang jelas tidak lebih baik, malah lebih buruk. Track record kurang, komitmen memberantas korupsi nihil. #PilkadaDKI2017"
6,"aneh deh lebay masa ini di sangkut pautkan sama kandidat Calgub, anda lebay seperti yg anda dukung #agussilvy"
847,Tidak usah ngawur lah. #AniesSandi berpihak pada pengusaha dan rakyat. Berbeda dengan ahok yang hanya pro pengembang
253,"WalauPun kau kalah,Kami tetap bangga sekali padamu #AHY,JalanMu masih panjang,Kesuksesan yang lebih baik menantimu Disaat yang tepat."
521,Apakah ini bukan suatu sejarah? #IndonesiaBersih #AhokDjarot
444,"Kampanyenya ngomong program ini program itu, jadi mentri aja dipecat <FACE WITH TEARS OF JOY> mending liat yang udah ada hasil kerja ada deh #AhokDjarot"
877,"... Anies memang luar biasa  <OK HAND> ... Gubernur rakyat, bukan Gubernur pengembang ... #AniesSandy"
32,Ini Dia Pelaku Pengirim SMS Gelap Antasari Azhar #Indonesia #SBY #AHY #Anies #Ahok #Berita #JumatBerkah #Rizieq
884,sedang nongkrong tiba2 didatangi timses paslon 3 #OkeOce  <OK HAND>
554,"Sudahlah bikin pusing. Lagian @basuki_btp Sudah jawab dengan baik. tinggal semua tenang,konsentrasi,berdoa,selalu bahagia Untuk menang"
184,Kita tunggu kualitas jiwa Anies Sandi..apa ucapan atas peran suara loyalis AHY-Silvy dalam kemenangan pilkada ini #BasukiKeokMasukBui
271,benar kata mas #ahy @AgusYudhoyono #AniesTidakKonsisten #boongYa #DebatFinalPilkadaJKT #menolaklupa
719,"cek kaos para pendukung Anies-Sandi,kaos2 provokatif yang dipakai saat pilkada DKI dipakai dalam syukuran, dan mereka bicara rekonsiliasi"
91,"Meninggalkan zona aman dan nyaman demi kemajuan Jakarta, dengan hasil yang tak sesuai harapan - AHY #realitybites #PilkadaDKI"
475,Selamat Pagi Salam 2 Jari untuk #pilkadadki2017 #pilkadajakarta
402,"Ancam Polisikan, Sutradara Video Rasis Kampanye Ahok-Djarot Minta Bayaran Sesuai Kontrak https://goo.gl/lwg3Ai  #News #AhokDjarot"
128,@ZaraZettiraZZ @NetizenTofa @ndoro__putri ada ahoker masih ngebully program #AHY <FACE WITH TEARS OF JOY> <FACE WITH TEARS OF JOY> <FACE WITH TEARS OF JOY>
899,#PesanBijak #OkeOce #GubernurGu3 ...
650,Trus menyalahkan #AniesSandi .... sebuah sikap tak paham aturan. Gubernur sekarang siapa? @basuki_btp
329,"kemungkinan yang saya lihat, #Ahok kalah di #pilkadadki2017 lebih besar daripada menang."
817,"Perumahan DP 0%, Pemprov Harus Subsidi Rp 52 Juta Per Unit https://goo.gl/GEyUeP  #ProgramAniesSandi #JanjiKampanye #AniesSandi"
816,#okeoce selalu dihati #pilkadadki
602,Kalau saya sih malu ngakunya juga @aniesbaswedan ...
476,"Mari kita berdoa, agar mereka semua dengan hati yang bersih coblos paslon no 2 . Berdoa dimulai... #pilkadadki2017"
692,#aniessandi #bhinekatunggalika #isusara Kubu Anies-Sandi Serukan Stop Politisasi Kebhinekaan http://dlvr.it/NtcTLN
460,Selamat istirahat pak @basuki_btp Setelah ronde panjang melawan penjahat Anda telah menang #pilkadajakarta #pilkadadki2017 #BasukiDjarot
772,semoga program gubernur terpilih terwujud nyata dan program yg sedang berjalan sesuai harapan #pilkadadki2017
17,kalau pencatutan nama #ahy dan mpo #silvi melanggar hukum ga ya.. wkwkwkwkkwkk
703,Jangan jiplak Program #OKEOCE hasil bikinan pendukung penista agama
400,Sederhana aja kan? Ya orang yang mempertanyakan soal susah move on berarti cuma yang sok skeptis dan tim kontra Ahok #AhokDjarot
365,#karanganbunga #karanganbungaahok #ahokdjarot Karangan Bunga yang Sindir Ahok - Djarot Dirusak http://dlvr.it/P0pJTx
600,<lovered> Nama yang Indah <lovered> Nama masjid baru pemkot Jakarta MASJID RAYA KH HASYIM ASHARI. @nu_online @NahdlatulOelama #AhokDjarot
331,Kubu BaDja Sindir Anies Soal Spanduk Jakarta Bersyariah - #PilkadaDki2017 #Ahok-Djarot #AniesBaswedan #Ahok #Jakarta
737,"Cagub kerja vs cagub wacana, cagub fakta vs cagub dusta #tetapahok #salambersama #okeoce #BeragamItuBasukiDjarot #kampanyeahokjahat"
264,#AHY dukung #HariSantriNasional 
67,"AHY masih mentah tapi mau dikarbit demokrat, melihat pilkada dki mereka tahu bahwa kemenangan pemilu cukup memakai sentimen sara saja"
285,Bangga menjadi bagian dari perjuangannya <Face Blowing a Kiss> <Face Blowing a Kiss> #AHY
654,sedikit pun kami tidak pernah #AniesSandi menjanjikan rumah DP 0% itu berbentuk #Rusun yang kami tau rumah berbentuk horisontal #SaveDP0%
830,Anies: Komitmen Kita adalah Kota Jakarta Paling Bhineka di Indonesia. #GubernurBaru #AniesSandi Anies-Sandi... http://fb.me/7F3Lncd4W
446,"pantes banyak polling dihapus, kalau yang menang polling #AhokDjarot pasti DIBESAR2KAN, ditayangkan 25x dalam sehari dimetrotivi <FACE WITH TEARS OF JOY> <FACE WITH TEARS OF JOY> <FACE WITH TEARS OF JOY>"
696,"Hari ini bhineka tunggal ika tidak akan berlaku, karena kita di hdapkan dengan pilihan yang berbeda. #aniessandi #StopPolitisasiBhinneka"
709,"Kalo Ahok kalah, Anies-Sandi menang? Paling juga Jakarta akan seperti dulu lagi, saling rukun, koruptornya <grining face with smile eye> <grining face with smile eye> <Lying Face> <Lying Face> #PilkadaDKI"
145,Suara #ahy bakal direbuntukan. Apakah pak @basuki_btp mau melanjuntukan program yang di usung pak @AgusYudhoyono sepertinya tidak .  <Expressionless Face>
856,Menarik.... Yang penting sesuai hati nurani <OK HAND> <OK HAND> <OK HAND> #Pilkada #Pilkada #PilkadaDki #PilkadaDki2017 #JakartaElection
524,"Integrasi rusun, pasar dan bioskop rakyat semasa #AhokDjarot yang ditunggu kelanjutannya dibawah gubernur baru"
360,"#AhokDjarot, untuk yang menang kerja aja dulu jangan banyak nuntut. Belom belom kok banyak maunya. #Jakarta #tanyakenapa"
634,Pemimpin yang Tegas ataukah Pemimpi yang Tega #PilkadaDKI2017
815,"Bersama Mas Sugeng, pelaku UMKM Gultik. Saya undang ke posko pemenangan. Semoga usaha tambah sukses dan semakin OK-OCE! #AniesSandi #OKOCE"
456,"Sempat terkejut karena Bapak Ahok kalah dalam versi Quick Count #pilkadadki2017. Tidak apa-apa, tetep keren terus ya pak! Tetap menginspiras"
721,"Paslon 3 #aniessandy curang kampanye masuk keluar masuk masjid, musolah masa seperti itu kampanye politik pilkada,tiap pengajian bagi2 duit"
514,Perbedaan mana yang kerja keras dan mana yang suka cari muka ! #Ahok #AhokDjarot #freeahok #AhokIsHope #RIPJUSTICEINDONESIA #riphukum
395,Pengamat: Cara yang Digunakan untuk Jungkalkan Ahok-Djarot Mirip Strategi ISIS http://bit.ly/2qd9w4e  #AhokDjarot
691,Akun @CangHaris akun provokator & bukan bagian dari timses #AniesSandi. Timeline @CangHaris lebih mencirikan akun Ahokers. Waspadalah!
105,"Harusnya rakyat menangis melihat #AHY KALAH. Bukan dari aspek #AHY sebagai pribadi, tapi demi kepentingan rakyat sendiri. #TetapAHY"
254,#ahy aku pribadi kagum atas pribadi mu yes #bangga atas sikapmu
47,Cari teman ni yee.1dan3 punya keinginan sama Gubernur Baru...tunggu dlu hasil resmi KPU baru dengar pernyataan #AHY
439,SAAT ALIEN MENYERANG INDONESIA http://www.triandry.com #pertempuranakhirjawarajkt #deklarasippp #rompiskasmaran #ahokdjarot #aniessandi
590,Ahok di Net Ahok di ini talkshow #AhokDjarot #JakartaPunyaSemua #temenahok #ahokdjarotmenang #JakartaKece
528,Indonesia harum bunga #AhokDjarot ungkapan seribu bahasa Cinta
489,gantungan kunci ahok berbagai model https://www.tokopedia.com/ #ahokfree #AhokIsHope #AhokDjarot #BasukiTjahajaPurnama #BTP #AhokTakBersalah
375,Tukang karangan bunga yang tidak pilih ahok apa masih terima orderan masa mau buatin bunga buat orang kapir #karanganbungaahok #AhokDjarot
195,"youtu.be/bxrZD69u61A  tenang, bening, ..dan tulus. Mas Agus, mungkin di masa yg akan datang yaa mas.. #apreciate #agussilvy"
636,Jangan kotori Lagi Balai Kota dengan Karangan Bunga http://obsessionnews.com @habiburokhman #AhokDjarot #Ahok #Anies #AniesSandi #MayDay2017
513,Suatu hari nanti orang-orang akan bercerita bahwa BATMAN DAN ROBBIN pernah melindungi jakarta !!#AhokDjarot
484,Tanggal 19 pilih dengan hati nurani ya #pilkadadki2017 #BaDjaUntukJakarta
744,"Yang penting ngecap, tidak lucu juga kan kalau diam saja #OkeOce"
370,"kira kira kalau karangan bunga ahok-djarot nyasar ke rumah anis, orang orang bakal ngomong apa ya? #AhokDjarot #orangkokbisanyinyirbgt	"
819,#ahok #temanahok #aniessandi Teman Ahok Minta Anies-Sandi Harus Lebih Baik dari Ahok http://dlvr.it/Nyqxzd
77,"Sah-sah aja, Justru itu menjadi tolak ukur kedewasaan warga dki, kalo AHY menang artinya pola pikir warga masih primitif.. #PolitikUangAHY"
806,Selamat datang #GubernurBaru #AniesSandi amanah telah menanti Maju Kotanya Bahagia Warganya
575,Jangan lupa coblos pemimpin yang pekerja keras <Victory Hand> <Victory Hand> #AhokDjarot #AniesSandi #JakartaPunyaSemua
755,Anies Merasa Sudah Menang TKO atas Ahok #PilkadaDKI2017
33,Antasari Diancam Harry Tanoe https://youtu.be/9KbbpAjibTc  #Antasari #ahok #Sby #AHY #berita #MetroTV #Indonesia #JumatBerkah #KimJongNam
445,"Timses anies ngomongnya sok kayak motivator, udah ahok terbaik kok jadi gubernur. Liat hasil kerjanya aja deh #AhokDjarot"
669,Kasihan katanya anti reklamasi tapi kok diteruskan? Ayo dapat berapa uang bapak2 gub & wagub baru jkt? #aniessandi #bullshit #freak
784,Ornamen Betawi Hiasi TPS 28 Tempat Anies Nyoblos. https://goo.gl/FVZA0B  #pilkadadki2017 #tps28 @aniesbaswedan
399,Kajian ini gue liat pake perspektif netral loh ya. Coba lah kalo ngomong dipikir #AhokDjarot
762,"Jakarta punya gubernur baru , selamat dan jangan lupa jalankan janji janji manisnya  #pilkadadki2017"
729,"orang kaya mah bebas, tajir melintir. Alhamdullilah. #OkeOce"
768,Selamat @aniesbaswedan @sandiuno @prabowo @Fahrihamzah @fadlizon @HABIBRIZIEQFPI Atas kemenangan #pilkadaDki2017 semoga bs lebih maju DKI
494,Kami mencintaimu Ahok and Djarot! #Ahok #SaveAhok #ahokdjarot
39,setuju bangett.. banyak yang tidak bersyukur kemrin tidak banjir sekarang malah sibuk mencari pembelaan #jangan_sombong #AHY #banjirjkt
235,"Olahraga dulu, AHY datang ke TPS siang hari https://goo.gl/fb/ht6PDZ  #nasional #ahy #datang #dulu #hari #ke #olahraga #siang #tps"
30,Baru tau Bu Carik @luviku tidak coblos #AHY kemarin. Piss
193,Salut! @AgusYudhoyono & Mpok Silvy dengan mengakui kemenangan Paslon lain. #agussilvy #Salam2Jari #KitaNKRI #TetapSemangat #PilkadaDKI
677,Prabowo Subianto sebut Amin Rais sebagai Ayatollah Indonesia & Aburizal Bakrie sebagai mentor & arsitek pemenangan #AniesSandi #PilkadaDKI
113,AHY kalah.. Sisi negatif: Umat Islam tertunda dalam menempatkan pemimpin. Sisi positif: Umat Islam terhindar dari saling hujat & buka aib.
503,pak @WagubDKI dan @basuki_btp itu adalah 2 sosok Band of Brothers di kehidupan nyata #DemiAhok #AhokDjarot
249,"Postingan 28 Januari 2017, meneduhkan. Tetep #AHY"
640,"Perayaan kemenangan #AniesSandi, tidak pakai papan kembang, tapi pakai kambiang â€” merasa bersyukur di Abunawas... http://fb.me/89nIV8t2r"
886,Gubernur TERPILIH Kita Pak Anies  di @DAcademyID @IndosiarID #3 #OkeOce #pilkadadki2017
340,"Ohh jadi mereka itu tertib karena #AhokDjarot ya, terus ada gub baru mereka tidak tertib lagi"
366,seBentar lagi pada komen apa nih Mas ? Settingan ? Pencitraan ? Apa disuruh Ahok lagi ? Hahaha #AhokDjarot
147,#AHY #SBY #Jakarta #Jatim #Jabar #Presiden #NgopiSore Mau ke Mana AHY Setelah Nyungsep di Jakarta? @tribunmedan
226,"Kuliah umum ""mahasiswa perspektif untuk masa depan"" #AHY (at UMRAH DOMPAK) â€”"
693,#SyuhadaTPS siap Kawal !! Kami siap Mati kawal kemenangan #AniesSandi ! #AniesKalahMuslimMarah !!
287,Saya juga dan tidak pernah nyesal dukung beliau <Face Blowing a Kiss> <Face Blowing a Kiss> malah bngga sekali kehadirannya di Republik ini #AHY
233,"Logikanya pemilih #AHY putaran ke1 dipastikan punya psikologis yang sama dengan pemilih paslon 3, mereka ingin gubernur baru di Jakarta."
680,"Bismillah beli rumah DP 0%, awas aja program ga jadi jalan #GubernurBaru #aniessandi"
221,#AHY Harapan & masa dpn Bangsa @hincapandjaitan @SBYudhoyono @AgusYudhoyono @PDemokrat @hariswijaya1975 @ranabaja @isari68 @didiklpambudi
390,"Gak murah nih ! , jika Ahok bukan Gubenur kesayangan warga Jakarta, emang siapa mau buang2 duit untuk beginian? #AhokDjarot"
315,Ahokers tukang plintir...lihat nehh!! @basuki_btp @AhokDjarot @WagubDKI @VivaRevolusi @tempodotco @republikaonline #PilkadaDki2017
44,"Agus tersingkir, Ahok & Anies rebutan suara AHY untuk kepentingan kelompok   lewat @YouTube #ahok #anies #ahy #pilgub"
747,Jawaban kok #OkeOce saja
541,Tuhan Memberkati #AhokDjarot
203,"Kekalahan adalah sukses yg tertunda, bukan untuk disesali tapi dijadikan pengalaman tuk lebih baik lagi di masa depan #AHY"
637,Bukan timses #AniesSandi
